year,month,day,title,description,tags,link,link_new_window,github_link
2018,2,11,Multilevel Modeling in R with NHL Power Play Data,A collaboration post with Matt Kmiecik about multilevel modeling in R using professional hockey data from the NHL. ,"Statistics,R",https://mattkmiecik.com/post-Multilevel-Modeling-in-R-with-NHL-Power-Play-Data.html,TRUE,https://raw.githubusercontent.com/mkmiecik14/mkmiecik14.github.io/master/post-Multilevel-Modeling-in-R-with-NHL-Power-Play-Data.Rmd
2018,3,20,Calculate 24-Motion Regressors,A quick guide to calculating motion regressors (with visuals). ,"fMRI,R",blog-calculate-motion-regressors.html,FALSE,https://raw.githubusercontent.com/epongpipat/epongpipat.github.io/master/blog_Calculate_Motion_Regressors.Rmd
2018,6,7,Bootstrapping and Permutation Testing: A Shiny App,A collaboration post with Matt Kmiecik about the differences between bootstrapping and permutation testing with input variables that change on the fly. ,"Statistics,R,Shiny Apps",https://mattkmiecik.com/post-Bootstrapping-and-Permutation-Testing-Shiny-App.html,TRUE,https://github.com/mkmiecik14/mkmiecik14.github.io/tree/master/boot-perm-app
2018,6,17,Simple Linear Regression via Voice Command: A Shiny App,"Change variables of a simple linear regression via voice commands. (Note: Link may or not work depending on if my free hours have been used up for the month, but feel free to download the code and run locally from my GitHub.) ","Statistics,R,Shiny Apps",https://epongpipat.shinyapps.io/lmvoice,TRUE,https://github.com/epongpipat/epongpipat.github.io/tree/master/shinyApps/lmVoice
2018,8,15,Simple Linear Regression via Voice Command: A Shiny App (A Dashboard Update),"Upate to the previous “Simple Linear Regression via Voice Command: A Shiny App” post using shinydashboard. (Note: Link may or not work depending on if my free hours have been used up for the month, but feel free to download the code and run locally from my GitHub.) ","Statistics,R,Shiny Apps",https://epongpipat.shinyapps.io/lm_voice_dashboard/,TRUE,https://github.com/epongpipat/shiny_apps/tree/master/lm_voice_dashboard
2018,9,1,Bootstrapping and Permutation Testing: A Shiny App (A Dashboard Update),Upate to the previous “Bootstrapping and Permutation Testing: A Shiny App” post using shinydashboard. ,"Statistics,R,Shiny Apps",https://mattkmiecik.shinyapps.io/boot-perm-dash/,TRUE,
2019,1,30,Solving Ordinary Least Squares (OLS) Regression using Matrix Algebra,A brief guide to solving ordinary least squares (OLS) regression using matrix algebra in R.,"Statistics,R",blog-solving-ols-regression-using-matrix-algebra.html,FALSE,https://raw.githubusercontent.com/epongpipat/epongpipat.github.io/master/blog-solving-ols-regression-using-matrix-algebra.Rmd
2019,3,7,Exploring 11 Years of Chicago Blackhawk's Data using Principal Components Analysis,A collaboraion with Matt Kmiecik using principal components analysis to analyze Blackhawk's data.,"Statistics,R",https://mattkmiecik.com/post-Exploring-11-Years-of-Chicago-Blackhawks-Data-using-Principal-Components-Analysis.html,TRUE,
2019,6,10,Solving Ordinary Least Squares (OLS) Regression using Gradient Descent,A brief guide to solving ordinary least squares (OLS) regression using gradient descent in R.,"Statistics,R",blog-solving-ols-regression-using-gradient-descent.html,FALSE,https://raw.githubusercontent.com/epongpipat/epongpipat.github.io/master/blog-solving-ols-regression-using-gradient-descent.Rmd
2020,8,18,COVID-19 Shiny Dashboard App,COVID-19 tracker for regions and metrics that I consistently check.,"R,Shiny Apps",https://epongpipat.shinyapps.io/covid19-shinydashboard/,TRUE,https://github.com/epongpipat/covid19-shinydashboard
